Цех,Ст_№_ГПА,Дата,ГТУ1_В,ГТУ1_Г,ГТУ1_О,ГТУ2_В,ГТУ2_Г,ГТУ2_О,ГТУ3_В,ГТУ3_Г,ГТУ3_О,ГТУ4_В,ГТУ4_Г,ГТУ4_О,ГТУ5_В,ГТУ5_Г,ГТУ5_О,ГТУ6_В,ГТУ6_Г,ГТУ6_О,ЦБН1_В,ЦБН1_Г,ЦБН1_О,ЦБН2_В,ЦБН2_Г,ЦБН2_О,ЦБН3_В,ЦБН3_Г,ЦБН4_В,ЦБН4_Г,ЦБН4_О,ЦБН4_NТВД,ЦБН4_NТНД,ЦБН4_3,ЦБН4_Рвх,ЦБН4_Рвых,Оценка_ГТУ,Оценка_ЦБН,Оценка_ГПА,Прибор,ЧД_Гц,Наработка_ГТУ_ч,Примечание,Филиал,КС,Тип_ГПА,Тип_ГТУ,Тип_ЦБК
Цех_1,14,2012-12-11 14:30:00,0.9,1.0,1.3,1.2,0.6,1.7,1.3,0.9,0.4,,,,,,,,,,0.8,0.7,1.6,,,,,,,,,4685.0,4807.0,,38.2,44.1,отлично,отлично,отлично,ВИК-3 №7, 10 - 5000,87699, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,14,2013-01-11 08:00:00,1.3,1.1,1.3,1.4,1.3,1.2,1.4,1.0,0.5,,,,,,,,,,0.8,0.5,1.0,,,,,,,,,4660.0,4850.0,,37.7,43.9,отлично,отлично,отлично,ВИК-3 №7, 10 - 5000,88427, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,14,2013-04-12 08:00:00,1.6,1.0,1.5,1.0,0.9,1.4,1.79,1.0,0.5,,,,,,,,,,1.0,0.7,1.6,,,,,,,,,4686.0,4967.0,,,,отлично,отлично,отлично,ВИК-3 №7, 10 - 5000,88427, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,14,2013-07-08 14:00:00,1.4,1.1,0.8,0.7,0.7,0.6,1.9,1.1,0.7,,,,,,,,,,0.7,0.7,0.8,,,,,,,,,4761.0,4513.0,,41.0,45.8,хорошо,отлично,хорошо,ВК-5М №12628,10 - 1000,88427, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,14,2013-08-06 14:00:00,1.2,1.75,1.4,1.0,1.7,1.1,1.6,0.7,0.5,,,,,,,,,,0.8,0.7,2.2,,,,,,,,,4682.0,4687.0,,,,отлично,хорошо,хорошо,"SKF-GX,№71014", 10 - 5000,90126, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,14,2013-10-15 10:15:00,1.2,1.2,1.4,0.8,1.2,1.2,1.4,0.7,0.4,,,,,,,,,,0.4,0.5,0.7,,,,,,,,,4614.0,4410.0,,,,отлично,отлично,отлично,ВИК-3 №7, 10 - 5000,, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,14,2013-10-16 16:00:00,1.4,1.1,2.6,1.5,2.2,1.0,1.5,1.0,0.7,,,,,,,,,,1.2,1.2,0.8,,,,,,,,,4677.0,4600.0,,,,хорошо,отлично,хорошо,"SKF-GX,№71014", 10 - 5000,,2 режим,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,14,2013-12-04 14:00:00,2.6,1.2,2.8,2.1,1.3,1.4,2.7,1.8,0.6,,,,,,,,,,2.1,0.8,2.2,,,,,,,,,4673.0,4861.0,,,,хорошо,хорошо,хорошо,"SKF-GX,№71014", 10 - 5000,,1 режим,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,14,2013-12-11 08:35:00,3.0,2.1,2.9,2.4,1.7,2.3,2.5,1.4,0.4,,,,,,,,,,0.8,0.6,1.3,,,,,,,,,4550.0,4810.0,,,,хорошо,отлично,хорошо,ВИК-3 №7, 10 - 5000,, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,14,2014-03-03 10:00:00,2.1,0.9,2.3,1.9,1.4,1.4,2.5,1.9,0.5,,,,,,,,,,0.7,0.5,1.0,,,,,,,,,4705.0,4900.0,,,,хорошо,отлично,хорошо,ВИК-3 №7, 10 - 5000,, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,14,2014-10-16 08:40:00,1.9,0.5,1.7,1.8,1.2,1.0,1.5,1.3,0.4,,,,,,,,,,1.2,1.0,2.4,,,,,,,,,4726.0,4850.0,,39.3,47.5,хорошо,хорошо,хорошо,ВИК-3 №7, 10 - 5000,, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,14,2015-01-13 13:42:00,2.0,0.5,1.9,1.4,1.3,1.1,1.6,1.2,0.5,,,,,,,,,,0.7,0.9,1.1,,,,,,,,,4730.0,5100.0,,,,хорошо,отлично,хорошо,ВИК-3 №7, 10 - 5000,, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
