,Цех,Ст_№_ГПА,Дата,ГТУ1_В,ГТУ1_Г,ГТУ1_О,ГТУ2_В,ГТУ2_Г,ГТУ2_О,ГТУ3_В,ГТУ3_Г,ГТУ3_О,ГТУ4_В,ГТУ4_Г,ГТУ4_О,ГТУ5_В,ГТУ5_Г,ГТУ5_О,ГТУ6_В,ГТУ6_Г,ГТУ6_О,ЦБН1_В,ЦБН1_Г,ЦБН1_О,ЦБН2_В,ЦБН2_Г,ЦБН2_О,ЦБН3_В,ЦБН3_Г,ЦБН4_В,ЦБН4_Г,ЦБН4_О,ЦБН4_NТВД,ЦБН4_NТНД,ЦБН4_3,ЦБН4_Рвх,ЦБН4_Рвых,Оценка_ГТУ,Оценка_ЦБН,Оценка_ГПА,Прибор,ЧД_Гц,Наработка_ГТУ_ч,Примечание,Филиал,КС,Тип_ГПА,Тип_ГТУ,Тип_ЦБК,Макс_ГТУ,Макс_V_ЦБН,Макс_S_ЦБН
1081,Цех_2,22,2008-07-11 10:00:00,0.5,0.6,0.8,0.8,0.7,1.1,,,,,,,,,,,,,1.9,1.8,1.1,,,,,,,,,4790.0,4350.0,,,,отлично,хорошо,хорошо,ВК-5 №1401,10 - 1000,83412, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,1.1,1.9,
1082,Цех_2,22,2008-07-29 08:00:00,0.9,0.8,0.9,1.6,1.6,1.3,,,,,,,,,,,,,1.3,0.8,1.1,,,,,,,,,4690.0,3830.0,,42.0,48.4,отлично,отлично,отлично,ВИК-3 №001,10 - 5000,83842, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,1.6,1.3,
1083,Цех_2,22,2008-10-20 14:00:00,0.6,0.6,0.6,0.7,0.6,0.8,,,,,,,,,,,,,0.9,1.4,0.8,,,,,,,,,4690.0,3830.0,,42.0,48.4,отлично,отлично,отлично,"SKF-GX,№71014",10 - 1000,84407, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,0.8,1.4,
1084,Цех_2,22,2008-11-07 09:15:00,0.55,0.57,0.8,0.55,0.49,0.63,,,,,,,,,,,,,1.2,1.7,0.98,,,,,,,,,4690.0,4290.0,,,,отлично,отлично,отлично,"SKF-GX,№71014",10 - 1000,84834, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,0.8,1.7,
1085,Цех_2,22,2008-12-22 11:25:00,0.42,0.41,0.42,0.63,0.52,0.7,,,,,,,,,,,,,0.92,0.82,0.91,,,,,,,,,4444.0,3863.0,,42.0,49.5,отлично,отлично,отлично,"SKF-GX,№71014",10 - 1000,85917, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,0.7,0.92,
1086,Цех_2,22,2009-04-09 14:00:00,1.2,0.7,0.8,0.9,0.8,0.9,,,,,,,,,,,,,1.2,1.0,0.8,,,,,,,,,4680.0,4200.0,,40.4,49.1,отлично,отлично,отлично,ВК-5М №12628,10 - 1000,86302, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,1.2,1.2,
1087,Цех_2,22,2009-04-27 08:00:00,0.8,0.5,0.8,1.0,0.6,0.7,,,,,,,,,,,,,1.0,0.9,0.7,,,,,,,,,4700.0,4210.0,,,,отлично,отлично,отлично,ВК-5М №12628,10 - 1000,86728, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,1.0,1.0,
1088,Цех_2,22,2009-05-13 09:00:00,0.5,0.5,0.7,0.5,0.5,0.5,,,,,,,,,,,,,1.1,1.5,0.9,,,,,,,,,4700.0,4150.0,,,,отлично,отлично,отлично,"SKF-GX,№71014",10 - 1000,87113, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,0.7,1.5,
1089,Цех_2,22,2009-05-22 09:00:00,0.43,0.63,0.91,0.69,0.71,0.69,,,,,,,,,,,,,1.6,1.7,0.8,,,,,,,,,4820.0,4340.0,,,,отлично,отлично,отлично,"SKF-GX,№71014",10 - 1000,87329,1 режим,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,0.91,1.7,
1090,Цех_2,22,2009-05-22 09:45:00,0.45,0.61,0.76,0.48,0.72,0.51,,,,,,,,,,,,,1.3,1.7,1.1,,,,,,,,,4760.0,4250.0,,,,отлично,отлично,отлично,"SKF-GX,№71014",10 - 1000,87330,2 режим,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,0.76,1.7,
1091,Цех_2,22,2009-05-22 10:30:00,0.36,0.51,0.51,0.54,0.56,0.59,,,,,,,,,,,,,0.96,1.3,0.77,,,,,,,,,4670.0,4120.0,,,,отлично,отлично,отлично,"SKF-GX,№71014",10 - 1000,87331,3 режим,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,0.59,1.3,
1092,Цех_2,22,2009-08-25 14:20:00,0.45,0.48,0.62,0.68,0.53,0.44,,,,,,,,,,,,,1.32,1.67,1.29,,,,,,,,,4519.0,4144.0,,,,хорошо,отлично,хорошо,"SKF-GX,№71014",10 - 1000,87985, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,0.68,1.67,
1093,Цех_2,22,2009-08-27 08:50:00,1.3,0.47,0.58,0.7,0.8,0.59,,,,,,,,,,,,,1.55,1.58,1.05,,,,,,,,,4575.0,4050.0,,,,хорошо,отлично,хорошо,"SKF-GX,№71014",10 - 1000,88022,1 режим,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,1.3,1.58,
1094,Цех_2,22,2009-08-27 10:55:00,0.44,0.53,0.83,0.86,0.8,0.5,,,,,,,,,,,,,1.24,1.76,0.84,,,,,,,,,4650.0,4125.0,,,,хорошо,отлично,хорошо,"SKF-GX,№71014",10 - 1000,88025,3 режим,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,0.86,1.76,
1095,Цех_2,22,2009-08-27 09:55:00,0.42,0.58,0.75,0.9,0.79,0.73,,,,,,,,,,,,,1.38,1.84,1.07,,,,,,,,,4706.0,4219.0,,,,хорошо,хорошо,хорошо,"SKF-GX,№71014",10 - 1000,88023,2 режим,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,0.9,1.84,
1096,Цех_2,22,2009-08-31 09:00:00,0.4,0.52,0.59,0.82,0.55,0.65,,,,,,,,,,,,,1.2,1.87,1.2,,,,,,,,,4540.0,4000.0,,,,хорошо,хорошо,хорошо,"SKF-GX,№71014",10 - 1000,88134, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,0.82,1.87,
1097,Цех_2,22,2009-09-15 08:55:00,0.48,0.67,0.68,0.75,0.67,0.59,,,,,,,,,,,,,1.36,1.7,0.97,,,,,,,,,4680.0,4190.0,,,,хорошо,отлично,хорошо,"SKF-GX,№71014",10 - 1000,88452, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,0.75,1.7,
1098,Цех_2,22,2009-09-28 08:00:00,0.48,0.67,0.68,0.75,0.67,0.59,,,,,,,,,,,,,1.36,1.7,0.97,,,,,,,,,4705.0,4230.0,,,,хорошо,отлично,хорошо,ВК-5 №1401,10 - 1000,88763, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,0.75,1.7,
1099,Цех_2,22,2009-10-14 08:30:00,0.46,0.56,0.69,0.71,0.72,0.51,,,,,,,,,,,,,1.27,1.35,0.84,,,,,,,,,4650.0,4095.0,,39.3,47.1,хорошо,отлично,хорошо,"SKF-GX,№71014",10 - 1000,89148, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,0.72,1.35,
1100,Цех_2,22,2010-05-26 14:29:00,0.52,0.68,0.68,0.57,0.81,0.8,,,,,,,,,,,,,1.4,2.1,1.2,,,,,,,,,4820.0,4114.0,,43.3,51.1,хорошо,хорошо,хорошо,"SKF-GX,№71014",10 - 1000,89445, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,0.81,2.1,
1101,Цех_2,22,2010-06-08 08:10:00,0.3,0.4,0.44,0.4,0.3,0.3,,,,,,,,,,,,,0.85,0.95,0.88,,,,,,,,,4615.0,3960.0,,40.9,47.6,хорошо,отлично,хорошо,ВИК-3 №7,10 - 1000,89744, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,0.44,0.95,
